#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
40 , Where Are You Now,"Lost Frequencies,Calum Scott",93,"belgian edm, edm, pop, pop dance, tropical house, neo mellow","Dance/Electronic, Folk/Acoustic, Pop",Where Are You Now,2021-07-30,2:28,67,64,52,0,26,10,17,-8 db,121,F#/G♭ Minor,11A,4,2022-04-16,3uUuGVFu1V7jTQL60S1r8z
41 , Oo vielä sekunnin mun,KUUMAA,59,"finnish dance pop, finnish hip hop, finnish pop","Dance/Electronic, Hip Hop, Pop",Oo vielä sekunnin mun,2021-12-09,3:40,72,62,5,0,73,3,9,-8 db,110,G#/A♭ Minor,1A,4,2022-04-16,60EXSCcZL24IZikBt4256W
42 , Oon tässä,Pete Parkkonen,15,"finnish dance pop, finnish pop, suomi rock","Dance/Electronic, Pop, World/Traditional",Oon tässä,2022-04-15,3:29,66,84,27,0,49,4,9,-7 db,139,C♯/D♭ Major,3B,4,2022-04-16,08tn6HqvIOdm7wkqXL3HNL
43 , Unelmii (feat. Janna),"Brädi,Janna",16,"finnish dance pop, finnish hip hop, finnish pop, iskelma, suomi rock","Dance/Electronic, Hip Hop, Pop, World/Traditional",Unelmii (feat. Janna),2022-04-15,3:14,75,78,36,0,38,4,12,-6 db,120,A#/B♭ Major,6B,4,2022-04-16,1E0cZMpN8dPCkB9LFI0PkE
44 , Hypoteettinen koira,"Ida Paul & Kalle Lindroth,Ida Paul,Kalle Lindroth",54,"finnish dance pop, finnish pop","Dance/Electronic, Pop",Hypoteettinen koira,2022-04-01,2:57,74,59,2,0,25,4,12,-6 db,139,G Major,9B,4,2022-04-16,2IS6Y1ESgW80pBJ2cWfvKc
45 , Älä pyydä mua takas enää,costee,58,"finnish dance pop, finnish hip hop, finnish pop","Dance/Electronic, Hip Hop, Pop",Älä pyydä mua takas enää,2022-03-18,2:57,46,52,23,0,45,5,10,-9 db,168,B Minor,10A,4,2022-04-16,0qeJ9MwgBw6Uua9TXRmM1k
46 , Softcore,The Neighbourhood,90,"modern alternative rock, modern rock, pop","Rock, Pop",Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,3:26,57,57,5,0,37,3,29,-6 db,94,A Minor,8A,4,2022-04-16,2K7xn816oNHJZ0aVqdQsha
47 , Kiltti tyttö,Nelli Matula,49,"finnish dance pop, finnish hip hop, finnish pop","Dance/Electronic, Hip Hop, Pop",Kiltti tyttö,2022-03-31,2:27,78,67,24,0,39,7,11,-6 db,95,B Minor,10A,4,2022-04-16,7oMMyjZTrGC6MwFwnv6mWv
48 , abcdefu,GAYLE,95,modern alternative pop,Rock,abcdefu,2021-08-13,2:48,70,54,30,0,42,5,37,-6 db,122,E Major,12B,4,2022-04-16,4fouWK6XVHhzl78KzQ1UjL
49 , Uu mama,Vesala,58,finnish pop,Pop,Uu mama,2022-02-18,3:32,76,77,0,0,50,6,10,-6 db,117,G Major,9B,4,2022-04-16,4gfaPfCrW3lM4FpGeLyORb
50 , Zick Zack,Rammstein,75,"alternative metal, german metal, industrial, industrial metal, industrial rock, neue deutsche harte, nu metal","Metal, Rock",Zick Zack,2022-04-07,4:04,67,81,0,0,40,7,7,-5 db,130,F Minor,4A,4,2022-04-16,5hPxC9i9lj9pJwg7DK2MvC
