#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
37 , After Dark,Mr.Kitty,74,weirdcore,,Time,2014-08-08,4:17,58,60,7,41,4,3,8,-10 db,140,G#/A♭ Major,4B,4,2022-04-23,0zCgWGmDF0aih5qexATyBn
38 , У мене немає дому,Odyn v Kanoe,52,"russian alt pop, ukrainian indie, ukrainian pop, ukrainian rock","Dance/Electronic, Folk/Acoustic, Pop, Rock",Один в каное,2021-06-06,3:18,65,45,79,0,42,4,11,-7 db,140,C♯/D♭ Minor,12A,4,2022-04-23,4GC6tlXcAsyp4pNrlyo1pb
39 , bankai,zxcursed,59,,,bankai,2022-04-01,1:57,53,91,20,0,71,15,38,-6 db,156,A#/B♭ Major,6B,4,2022-04-23,1qwAvf8LsXY7H1sD5rRXGO
40 , Я хочу тебя трахать,"Scally Milano,uglystephan",44,"russian hip hop, russian drain, russian viral rap, zxc",Hip Hop,Пропаганда денег,2022-04-15,2:24,77,60,18,0,75,17,7,-5 db,136,C♯/D♭ Major,3B,4,2022-04-23,12GNcuMwxsLQQG4A9flx9r
41 , Не твоя війна,Okean Elzy,57,"classic russian rock, russian rock, ukrainian indie, ukrainian pop, ukrainian rock","World/Traditional, Rock, Folk/Acoustic, Pop",Без меж,2016-05-19,4:26,39,59,19,0,34,3,13,-4 db,89,C Minor,5A,4,2022-04-23,0H2ZDRzULQ8tIUvxUuTlqF
42 , As It Was,Harry Styles,100,pop,Pop,As It Was,2022-03-31,2:47,52,73,34,0,66,6,31,-5 db,174,F#/G♭ Minor,11A,4,2022-04-23,4LRPiXqCikLlN15c3yImP7
43 , Bandana,"Big Baby Tape,kizaru",65,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:31,75,58,1,4,35,3,17,-6 db,103,F Major,7B,4,2022-04-23,16AzcbKli3UQsxj491hJLQ
44 , Зорi,KALUSH,52,"ukrainian hip hop, ukrainian pop, ukrainian rock","Pop, Rock",HOTIN,2021-02-19,3:20,75,59,8,1,70,4,12,-4 db,140,D#/E♭ Minor,2A,5,2022-04-23,7mXxcF1nFQvcvANuYwdrv2
45 , 1000-7,"shadowraze,GENJUTSU",65,"russian drain, russian hip hop",Hip Hop,1000-7,2021-03-12,2:07,73,87,1,0,43,20,12,-4 db,133,C♯/D♭ Major,3B,5,2022-04-23,2IMrzJTRHGndoUbM39QIJ7
46 , Million,"Big Baby Tape,kizaru",65,"russian hip hop, russian trap, russian emo rap","Hip Hop, Latin",BANDANA I,2021-10-22,2:14,87,68,3,0,72,22,27,-5 db,165,F#/G♭ Major,2B,4,2022-04-23,4umjgYILQbHyV41ZmaemQm
47 , Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons,JID,Arcane,League of Legends",85,"modern rock, rock, hip hop, rap, underground hip hop, speedrun, video game music","Hip Hop, Rock, Easy listening",Mercury - Act 1,2021-09-03,2:53,73,78,24,0,56,27,43,-4 db,77,B Minor,10A,4,2022-04-23,1HhNoOuqm1a5MXYEgAFl8o
48 , Місто весни,"Okean Elzy,Odyn v Kanoe",55,"classic russian rock, russian rock, ukrainian indie, ukrainian pop, ukrainian rock, russian alt pop","World/Traditional, Dance/Electronic, Rock, Folk/Acoustic, Pop",Місто весни,2021-09-09,4:12,60,39,82,0,12,3,12,-7 db,102,A#/B♭ Minor,3A,4,2022-04-23,56wSomSllGESHGhcfHrvEw
49 , Капли,"OG Buda,Дора",55,"russian drill, russian hip hop, russian trap, russian alt pop, russian pop","Dance/Electronic, Hip Hop, Pop, Latin",Капли,2022-04-15,2:40,70,49,4,0,46,10,9,-9 db,143,F#/G♭ Major,2B,4,2022-04-23,0LwPFTgtNaQrfyWHM42Z83
50 , #ПОШТА,Jerry Heil,53,"ukrainian pop, ukrainian rock","Pop, Rock",#ПОШТА,2022-02-04,2:48,69,54,61,0,29,3,11,-6 db,112,G Minor,6A,4,2022-04-23,1n7AVWNbLx5OUhItzDTj4A
