#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Tempo,Key,Camelot,Time Signature,Added At,Spotify Track Id
37 , Moth To A Flame (with The Weeknd),"Swedish House Mafia,The Weeknd",25,"dance pop, edm, electro house, pop, pop dance, progressive electro house, canadian contemporary r&b, canadian pop","R&B, Pop, Dance/Electronic",Paradise Again,2022-04-15,3:54,55,66,0,0,11,4,11,-7 db,120,G#/A♭ Major,4B,4,2022-04-16,0VO8gYVDSwM1Qdd2GsMoYK
38 , Easy On Me,Adele,87,"british soul, pop, pop soul, uk pop","R&B, Pop",30,2021-11-19,3:44,60,37,58,0,13,3,13,-8 db,142,F Major,7B,4,2022-04-16,46IZ0fSY2mpAiktS3KOqds
39 , Bones,Imagine Dragons,88,"modern rock, rock",Rock,Bones,2022-03-11,2:45,77,74,2,0,57,5,8,-4 db,114,F Minor,4A,4,2022-04-16,0HqZX76SFLDz2aW8aiqi7G
40 , Save Your Tears,The Weeknd,89,"canadian contemporary r&b, canadian pop, pop","R&B, Pop",After Hours,2020-03-20,3:35,68,83,2,0,64,3,54,-5 db,118,C Major,8B,4,2022-04-16,5QO79kh1waicV47BqGRL3g
41 , good 4 u,Olivia Rodrigo,93,pop,Pop,SOUR,2021-05-21,2:58,56,66,34,0,69,15,8,-5 db,167,A Major,11B,4,2022-04-16,4ZtFanR9U6ndgddUvNcjcG
42 , Light Switch,Charlie Puth,82,"dance pop, pop, viral pop",Pop,Light Switch (Instrumental),2022-01-19,3:05,69,63,11,0,91,31,9,-6 db,184,F#/G♭ Major,2B,4,2022-04-16,3AVXwaOGCEL8cmBecfcsFJ
43 , u.,niteboi,77,drift phonk,,u.,2017-01-22,2:54,46,65,22,87,6,10,11,-9 db,124,E Minor,9A,4,2022-04-16,0J7oHYxjF6Oln61wy0kP2i
44 , ZITTI E BUONI,Måneskin,77,"indie rock italiano, italian pop","Rock, Pop",Teatro d'ira - Vol. I,2021-03-19,3:14,63,94,0,0,64,7,42,-3 db,103,E Minor,9A,4,2022-04-16,776AftMmFFAWUIEAb3lHhw
45 , Daddy Issues,The Neighbourhood,87,"modern alternative rock, modern rock, pop","Rock, Pop",Wiped Out!,2015-10-30,4:20,59,52,7,15,34,3,12,-9 db,85,A#/B♭ Major,6B,4,2022-04-16,5E30LdtzQTGqRvNd7l6kG5
46 , Do It To It,"ACRAZE,Cherish",91,"atl hip hop, girl group, hip pop, r&b, southern hip hop, urban contemporary","Hip Hop, Pop, R&B",Do It To It,2021-08-20,2:37,85,81,2,5,64,9,7,-8 db,125,B Minor,10A,4,2022-04-16,20on25jryn53hWghthWWW3
47 , Starlight,Dave,89,uk hip hop,Hip Hop,Starlight,2022-03-03,3:31,95,37,34,0,37,29,10,-10 db,124,E Minor,9A,4,2022-04-16,531KGXtBroSrOX9LVmiIgc
48 , Tataki,Argy,60,"minimal tech house, minimal techno",Dance/Electronic,Tataki,2022-01-07,5:28,83,40,2,80,6,12,10,-12 db,122,D Major,10B,4,2022-04-16,1vdYudatKL5iRIM7i6vkvG
49 , Rojaus Obuoliukai,"Zoliukas,Saules Berniukas",41,"lithuanian pop,",Pop,Rojaus Obuoliukai,2019-08-29,3:31,79,32,79,0,54,12,8,-12 db,142,A Minor,8A,4,2022-04-16,7J5J0RjBq1rz9vV2iBqDqd
50 , HDMI,BONES,80,"dark trap, underground hip hop",Hip Hop,Rotten,2014-12-02,2:19,71,29,69,81,12,6,32,-16 db,125,G Major,9B,4,2022-04-16,7I4ibsZgwuf46g0xHuTC8s
